"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","16.584967","0","25"
"/Game/LowPoly_Castle/Castle_Materials/M_CastleOuterPillar.M_CastleOuterPillar","0","3","3","1","2.075882","0","3"
"/Game/LowPoly_Castle/Castle_Materials/M_CastleOuterTower.M_CastleOuterTower","0","3","3","1","0.000000","0","3"
"/Game/LowPoly_Castle/Castle_Materials/M_MainEntrance_Gate.M_MainEntrance_Gate","0","3","3","1","0.000000","0","3"
"/Game/LowPoly_Castle/Castle_Materials/M_Castle_Tower.M_Castle_Tower","0","3","3","1","0.000000","0","3"
"/Game/LowPoly_Castle/Castle_Materials/M_MainDoorCastle.M_MainDoorCastle","0","3","3","1","0.000000","0","3"
"/Game/LowPoly_Castle/Castle_Materials/M_CastleRoofTop.M_CastleRoofTop","0","3","3","1","0.000000","0","3"
"/Game/LowPoly_Castle/Castle_Materials/M_Castle_Tower_RooF.M_Castle_Tower_RooF","0","3","3","1","0.000000","0","3"
"/Game/LowPoly_Castle/Castle_Materials/M_SpeechPathway.M_SpeechPathway","0","3","3","1","0.000000","0","3"
"/Game/LowPoly_Castle/Castle_Materials/M_FrontBuilding.M_FrontBuilding","0","3","3","1","0.000000","0","3"
"/Game/LowPoly_Castle/Castle_Materials/M_MainCastle.M_MainCastle","0","3","3","1","0.000000","0","3"
"/Game/Cursor/M_Cursor.M_Cursor","0","28","32","1","52.519161","0","32"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","333","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","20.147682","0","24"
"Globals","49","10300","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","7","7","1","9.716879","0","7"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","12","14","1","17.623184","0","14"
"","49","64","0","1","0.000000","65","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","7","7","1","21.843695","0","7"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","19","21","1","36.630672","0","21"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","8","8","1","11.559628","0","8"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","8","8","1","12.391017","0","8"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","10","11","1","9.987369","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","10","10","1","9.470210","0","10"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","11","11","1","14.420419","0","11"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","27","27","1","53.573204","0","27"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","17","19","1","21.502983","0","19"
